condition,bank,question_type,n,accuracy
baseline,HSBC,multiple_choice,12,0.0833
baseline,HSBC,short_answer,45,0.0
baseline,HSBC,single_choice,15,0.6667
baseline,HSBC,true_false,8,0.75
baseline,Lloyds,multiple_choice,12,0.0833
baseline,Lloyds,short_answer,46,0.0652
baseline,Lloyds,single_choice,14,0.3571
baseline,Lloyds,true_false,8,0.875
baseline,NatWest,multiple_choice,12,0.0833
baseline,NatWest,short_answer,45,0.0889
baseline,NatWest,single_choice,15,0.6667
baseline,NatWest,true_false,8,0.625
rag,HSBC,multiple_choice,12,0.5
rag,HSBC,short_answer,45,0.6222
rag,HSBC,single_choice,15,0.8
rag,HSBC,true_false,8,0.5
rag,Lloyds,multiple_choice,12,0.4167
rag,Lloyds,short_answer,46,0.6739
rag,Lloyds,single_choice,14,0.5714
rag,Lloyds,true_false,8,0.75
rag,NatWest,multiple_choice,12,0.1667
rag,NatWest,short_answer,45,0.7556
rag,NatWest,single_choice,15,0.8
rag,NatWest,true_false,8,0.75
finetuned,HSBC,multiple_choice,12,0.1667
finetuned,HSBC,short_answer,45,0.0667
finetuned,HSBC,single_choice,15,0.3333
finetuned,HSBC,true_false,8,0.75
finetuned,Lloyds,multiple_choice,12,0.3333
finetuned,Lloyds,short_answer,46,0.1522
finetuned,Lloyds,single_choice,14,0.7143
finetuned,Lloyds,true_false,8,0.75
finetuned,NatWest,multiple_choice,12,0.1667
finetuned,NatWest,short_answer,45,0.0889
finetuned,NatWest,single_choice,15,0.8
finetuned,NatWest,true_false,8,0.625
hybrid,HSBC,multiple_choice,12,0.3333
hybrid,HSBC,short_answer,45,0.6
hybrid,HSBC,single_choice,15,0.8
hybrid,HSBC,true_false,8,0.75
hybrid,Lloyds,multiple_choice,12,0.5
hybrid,Lloyds,short_answer,46,0.7391
hybrid,Lloyds,single_choice,14,0.5714
hybrid,Lloyds,true_false,8,0.75
hybrid,NatWest,multiple_choice,12,0.0833
hybrid,NatWest,short_answer,45,0.8
hybrid,NatWest,single_choice,15,0.8
hybrid,NatWest,true_false,8,0.875
