qid,question_type,bank,adv_tier,question,reference,prediction,retrieved_ids,retrieved_banks,retrieval_scores,retrieval_top1,retrieval_bank_hit,retrieval_bank_precision,context,gen_tokens,hit_token_cap,latency_s,correct,mc_jaccard,token_f1,rougeL,abstained,halluc_proxy,answer_in_context,pred_words,pred_chars,correct_strict
ADVF001,adversarial_absent,hsbc,fabricated,What was the average salary of HSBC's Antarctic operations staff in 2023?,[NOT IN CORPUS],"**$158,000**",,,,,,,,11,0,1.3,0.0,,,,0.0,1.0,,1.0,12.0,0.0
ADVF002,adversarial_absent,hsbc,fabricated,What percentage of HSBC's 2023 revenue came from its video-streaming subsidiary?,[NOT IN CORPUS],**1%**,,,,,,,,5,0,0.66,0.0,,,,0.0,1.0,,1.0,6.0,0.0
ADVF003,adversarial_absent,hsbc,fabricated,What goodwill impairment did HSBC recognise on its acquisition of Deutsche Bank in 2023?,[NOT IN CORPUS],**\$1bn**,,,,,,,,6,0,0.78,0.0,,,,0.0,1.0,,1.0,9.0,0.0
ADVF004,adversarial_absent,hsbc,fabricated,What was the value of HSBC's gold bullion reserves held on the Moon at end-2023?,[NOT IN CORPUS],**$1bn**,,,,,,,,6,0,0.78,0.0,,,,0.0,1.0,,1.0,8.0,0.0
ADVF005,adversarial_absent,lloyds,fabricated,What provision did Lloyds Banking Group make in 2023 for the settlement of its lawsuit with Apple Inc.?,[NOT IN CORPUS],**£150 million**,,,,,,,,8,0,0.98,0.0,,,,0.0,1.0,,2.0,16.0,0.0
ADVF006,adversarial_absent,lloyds,fabricated,How much did Lloyds Banking Group spend on sponsorship of the 2023 FIFA World Cup?,[NOT IN CORPUS],**£150m**,,,,,,,,8,0,1.0,0.0,,,,0.0,1.0,,1.0,9.0,0.0
ADVF007,adversarial_absent,lloyds,fabricated,What revenue did Lloyds Banking Group report from its deep-sea mining division in 2023?,[NOT IN CORPUS],**£1m**,,,,,,,,6,0,0.82,0.0,,,,0.0,1.0,,1.0,7.0,0.0
ADVF008,adversarial_absent,lloyds,fabricated,What restructuring charge did Lloyds Banking Group book for closing its Iceland branch network in 2023?,[NOT IN CORPUS],**£150 million**,,,,,,,,8,0,1.02,0.0,,,,0.0,1.0,,2.0,16.0,0.0
ADVF009,adversarial_absent,natwest,fabricated,What was NatWest Group's cryptocurrency trading revenue in 2023?,[NOT IN CORPUS],NatWest Group’s cryptocurrency trading revenue in 2023 was **£19 million**. This compares with a loss of **£17 million** in 2022.,,,,,,,,41,0,5.4,0.0,,,,0.0,1.0,,20.0,129.0,0.0
ADVF010,adversarial_absent,natwest,fabricated,What was NatWest Group's advertising spend on Japanese television in 2023?,[NOT IN CORPUS],NatWest Group's advertising spend on Japanese television in 2023 was **£15 million**.,,,,,,,,24,0,2.65,0.0,,,,0.0,1.0,,12.0,85.0,0.0
