qid,question_type,bank,adv_tier,question,reference,prediction,retrieved_ids,retrieved_banks,retrieval_scores,retrieval_top1,retrieval_bank_hit,retrieval_bank_precision,context,gen_tokens,hit_token_cap,latency_s,correct,mc_jaccard,token_f1,rougeL,abstained,halluc_proxy,answer_in_context,pred_words,pred_chars,correct_strict
P_E0014,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what was the amount recorded for insurance finance expense during that year?",7.8bn,"1,586 million pounds",,,,,,,,8,0,0.77,0.0,,0.0,,0.0,1.0,,3.0,20.0,0.0
P_E0027,short_answer,natwest,,"Based on the NatWest Group 2023 Annual Report, what was the amount of increase in other financial liabilities?",£6.0 billion,1.5 billion pounds,,,,,,,,6,0,0.6,0.0,,0.4,,0.0,1.0,,3.0,18.0,0.0
P_E0033,true_false,hsbc,,Based on HSBC's 2023 Annual Report and Accounts: Did total risk-weighted assets (RWAs) as of 31 December 2023 decrease compared to the figure reported on 31 December 2022?,false,False,,,,,,,,2,0,0.35,1.0,,,,0.0,0.0,,1.0,5.0,1.0
P_E0041,true_false,natwest,,"According to NatWest Group's 2023 Annual Report: What was the total capital as of 31 December 2023, which stood at £33,920 million?",false,True,,,,,,,,2,0,0.35,0.0,,,,0.0,1.0,,1.0,4.0,0.0
P_E0047,short_answer,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, what was the amount of depreciation on operating leases for that year?",£956 million,"1,185 million pounds",,,,,,,,8,0,0.68,0.0,,0.4,,0.0,1.0,,3.0,20.0,0.0
P_E0080,true_false,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, what was the profit for the year ending 31 December 2023?",true,False,,,,,,,,2,0,0.32,0.0,,,,0.0,1.0,,1.0,5.0,0.0
P_E0136,single_choice,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the main factor behind the reduction in both derivative assets and derivative liabilities during 2023?",A,A,,,,,,,,2,0,0.37,1.0,,,,0.0,0.0,,1.0,1.0,1.0
P_E0154,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the amount of customer deposits recorded for 2022?",£450.3bn,£185.9 billion,,,,,,,,8,0,0.6,0.0,,0.0,,0.0,1.0,,2.0,14.0,0.0
P_E0158,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what percentage of customer accounts did loans and advances to customers represent in 2019?",72.0%,45%,,,,,,,,4,0,0.44,0.0,,0.0,,0.0,1.0,,1.0,3.0,0.0
P_E0162,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the exact, unrounded basic earnings per share attributable to ordinary shareholders for 2023?",47.948p,149.5,,,,,,,,6,0,0.54,0.0,,0.0,,0.0,1.0,,1.0,5.0,0.0
P_E0169,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what was the net monetary loss recorded for 2023 due to the application of IAS 29?",1667m,-1658 million,,,,,,,,7,0,0.64,0.0,,0.0,,0.0,1.0,,2.0,13.0,0.0
P_E0174,short_answer,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, by what percentage did underlying profit change between 2022 and 2023?",11%,17%,,,,,,,,4,0,0.44,0.0,,0.0,,0.0,1.0,,1.0,3.0,0.0
P_E0176,short_answer,lloyds,,"According to Lloyds Banking Group's 2023 Annual Report, what amount was recorded in other comprehensive income in 2022 for the effective part of fair value changes?",-6990,-198 million pounds,,,,,,,,7,0,0.61,0.0,,0.0,,0.0,1.0,,3.0,19.0,0.0
P_E0182,single_choice,natwest,,"According to NatWest Group's 2023 Annual Report, what was the cumulative contribution made to the £100 billion climate and sustainable funding and financing goal as of 31 December 2023?",B,A,,,,,,,,2,0,0.34,0.0,,,,0.0,1.0,,1.0,1.0,0.0
P_E0199,multiple_choice,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which of these items are listed as influences on net fee income for 2023?","A,B,C,D","A, B, C, D, E, F",,,,,,,,12,0,0.92,0.0,0.6666666666666666,,,0.0,1.0,,6.0,16.0,0.0
P_E0214,multiple_choice,natwest,,"Based on the consolidated balance sheet in NatWest Group's 2023 Annual Report for the year ended 31 December 2023, which line item was lower than in 2022?","A,B,C","To answer this question accurately, I would need to refer to the specific figures in NatWest Group's 2023 Annual Report. Since I don't have access to the actual report or data, I cannot definitively state which line items were lower in 2023 compared to 2022. Therefore, I cannot provide a confident selection of the correct options.

Given the lack of specific data, no option can be conclusively marked as correct without reviewing the actual financial statements. Thus, I must indicate that the answer cannot be determined based on the provided information.",,,,,,,,119,0,7.63,0.0,0.0,,,1.0,0.0,,91.0,559.0,0.0
P_E0216,multiple_choice,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which of the following options regarding return on average tangible equity (RoTE) is accurate?","A,B,C,D","A, B, C, D",,,,,,,,8,0,0.87,1.0,1.0,,,0.0,0.0,,4.0,10.0,1.0
P_E0218,short_answer,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, what level of average interest-earning banking assets is projected for 2024?",greater than £450 billion,No projection for 2024 is provided in the 2023 Annual Report.,,,,,,,,21,0,1.4,0.0,,0.0,,0.0,1.0,,11.0,61.0,0.0
P_E0221,multiple_choice,natwest,,"Based on the table in NatWest Group's 2023 Annual Report, which of these groups received allocations from the total comprehensive income for the year that ended on 31 December 2023?","A,C,D","A, D, E",,,,,,,,6,0,0.57,0.0,0.5,,,0.0,1.0,,3.0,7.0,0.0
P_E0225,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the 2022 net stable funding ratio?",145%,104.5%,,,,,,,,7,0,0.56,0.0,,0.0,,0.0,1.0,,1.0,6.0,0.0
P_E0239,short_answer,lloyds,,"According to Lloyds Banking Group's 2023 Annual Report, which accounting standard was adopted that necessitated the restatement?",IFRS 17,IFRS 16,,,,,,,,6,0,0.51,0.0,,0.5,,0.0,1.0,,2.0,7.0,0.0
P_E0241,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, in which year was a profit of 14,693 recorded?",2021,2023,,,,,,,,5,0,0.49,0.0,,0.0,,0.0,1.0,,1.0,4.0,0.0
P_E0246,short_answer,lloyds,,"According to the 2023 Annual Report of Lloyds Banking Group, what was the figure for total liabilities in 2022, expressed in £m?",829483,"198,547",,,,,,,,8,0,0.64,0.0,,0.0,,0.0,1.0,,1.0,7.0,0.0
P_E0248,single_choice,lloyds,,"Based on the consolidated financial statements in Lloyds Banking Group's 2023 Annual Report, what was the total income for the fiscal year 2023?",A,A,,,,,,,,2,0,0.34,1.0,,,,0.0,0.0,,1.0,1.0,1.0
P_E0256,short_answer,natwest,,At what percentage is the countercyclical leverage ratio buffer set relative to NatWest Group's CCyB?,35%,1.5%,,,,,,,,5,0,0.45,0.0,,0.0,,0.0,1.0,,1.0,4.0,0.0
P_E0257,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which asset class recorded the largest average balance during 2023?",Loans and advances to customers,"Customer loans and advances (including net operating leasing receivables) - £1,495,876 million",,,,,,,,26,0,1.7,0.0,,0.37499999999999994,,0.0,1.0,,12.0,94.0,0.0
P_E0262,single_choice,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what was the tangible net asset value per ordinary share at the end of 2023, as shown in the five-year selected financial data?",B,B,,,,,,,,2,0,0.33,1.0,,,,0.0,0.0,,1.0,1.0,1.0
P_E0263,multiple_choice,lloyds,,"Based on the 2023 Annual Report of Lloyds Banking Group, which of the following options correctly reflects the details presented in that report?","A,B,D,E","C, B",,,,,,,,4,0,0.59,0.0,0.2,,,0.0,1.0,,2.0,4.0,0.0
P_E0264,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, which capital element stayed constant at £3,875m for the entire year?",AT1,Tier 1 capital,,,,,,,,5,0,0.49,1.0,,0.0,,0.0,0.0,,3.0,14.0,1.0
P_E0274,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which nation held the greatest number of customer accounts during that year?",Hong Kong,China,,,,,,,,2,0,0.27,0.0,,0.0,,0.0,1.0,,1.0,5.0,0.0
P_E0276,short_answer,lloyds,,"According to the 2023 Annual Report of Lloyds Banking Group, what was the loan-to-deposit ratio as of 31 December 2023?",95%,89%,,,,,,,,4,0,0.47,0.0,,0.0,,0.0,1.0,,1.0,3.0,0.0
P_E0279,single_choice,lloyds,,"According to Lloyds Banking Group's 2023 Annual Report, what was the total assets figure reported for 1 January 2022?",A,B,,,,,,,,2,0,0.33,0.0,,,,0.0,1.0,,1.0,1.0,0.0
P_E0280,short_answer,natwest,,"According to NatWest Group's 2023 Annual Report: Effective from 5 July 2023, by what percentage was the UK countercyclical capital buffer raised?",2%,2%,,,,,,,,3,0,0.38,1.0,,1.0,,0.0,0.0,,1.0,2.0,1.0
P_E0284,single_choice,hsbc,,What was the impairment charge for HSBC's stake in BoCom as of 31 December 2023?,C,B,,,,,,,,2,0,0.35,0.0,,,,0.0,1.0,,1.0,1.0,0.0
P_E0286,multiple_choice,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, which of the following options accurately describes the Group's liquidity and funding status as of 31 December 2023?","A,B,D",B,,,,,,,,2,0,0.38,0.0,0.3333333333333333,,,0.0,1.0,,1.0,1.0,0.0
P_E0291,short_answer,hsbc,,"According to HSBC's 2023 Annual Report and Accounts, how many full-time equivalent employees were there in total as of 31 December 2023?",220861,"145,800",,,,,,,,8,0,0.79,0.0,,0.0,,0.0,1.0,,1.0,7.0,0.0
