qid,bank,question_type,max_jaccard,same_answer,nearest_train_question
E0001,lloyds,open_ended,0.333,True,"According to Lloyds Banking Group's 2023 Annual Report: During 2023, what was the total value of the share buyback programme completed by the Group?"
E0002,natwest,single_choice,0.833,False,"According to NatWest Group's 2023 Annual Report, what was the total comprehensive income for the year ended 31 December 2023"
E0003,natwest,multiple_choice,0.25,False,"According to NatWest Group's 2023 Annual Report, what was the CET1 capital at 31 December 2023"
E0004,hsbc,short_answer,0.545,True,"According to HSBC's 2023 Annual Report and Accounts, what primarily comprised the $114bn assets held for sale"
E0005,hsbc,short_answer,0.545,False,"According to HSBC's 2023 Annual Report and Accounts, what was the total shareholders' equity in 2020"
E0006,natwest,multiple_choice,0.308,False,"According to NatWest Group's 2023 Annual Report, what categories of operating expenses are reported for continuing operations?"
E0007,natwest,short_answer,0.444,False,"According to NatWest Group's 2023 Annual Report, what was the Tier 1 capital amount at 31 December 2023"
E0008,hsbc,multiple_choice,0.316,False,"According to HSBC's 2023 Annual Report and Accounts, for which two planned disposals are income statement and selected balance sheet metrics presented"
E0009,natwest,single_choice,0.4,False,"According to NatWest Group's 2023 Annual Report, what was the staff expenses amount in 2023 and its variance from 2022?"
E0010,lloyds,short_answer,0.667,True,"According to Lloyds Banking Group's 2023 Annual Report, what was total income after net finance income in respect of insurance and investment contracts for 2023"
E0011,natwest,short_answer,0.455,True,"According to NatWest Group's 2023 Annual Report, what cost target was achieved and what was the resulting cost:income ratio?"
E0012,hsbc,short_answer,0.357,False,"According to HSBC's 2023 Annual Report and Accounts, what was the approximate value of trading, fair value and associated net asset balances at 31 December 2023"
E0013,hsbc,short_answer,1.0,True,"According to HSBC's 2023 Annual Report and Accounts, what was the return on average tangible equity in 2023 and in 2022"
E0014,hsbc,short_answer,0.571,False,"According to HSBC's 2023 Annual Report and Accounts, what was the interest expense for the year ended 31 December 2023?"
E0015,natwest,multiple_choice,0.333,False,"According to NatWest Group's 2023 Annual Report, which risk category accounted for the largest risk-weighted assets in 2023"
E0016,lloyds,short_answer,0.308,True,"According to HSBC's 2023 Annual Report and Accounts, what accounting standard was adopted from 1 January 2023"
E0017,lloyds,short_answer,0.533,True,"According to Lloyds Banking Group's 2023 Annual Report, how many shares were purchased under the 2023 share buyback programme, and at what average price per sha"
E0018,hsbc,short_answer,0.6,False,"According to HSBC's 2023 Annual Report and Accounts, what was the net interest income in 2023?"
E0019,natwest,multiple_choice,0.161,False,"According to HSBC's 2023 Annual Report and Accounts, which of the following statements about the adoption of IFRS 17 are correct?

A. It was adopted from 1 Janu"
E0020,natwest,true_false,0.692,False,According to NatWest Group's 2023 Annual Report: Total income increased by 12.1% to £14.8 billion compared with 2022.
E0021,natwest,short_answer,0.5,True,"According to NatWest Group's 2023 Annual Report, what were the proportions of non-interest bearing and term balances in the customer deposit mix"
E0022,lloyds,single_choice,0.556,False,"According to Lloyds Banking Group's 2023 Annual Report, what were the Group's total risk-weighted assets at 31 December 2023 and 31 December 2022"
E0023,hsbc,short_answer,0.556,False,"According to HSBC's 2023 Annual Report and Accounts, why did financial investments increase"
E0024,hsbc,true_false,0.524,False,"According to HSBC's 2023 Annual Report and Accounts, what was the profit for the year reported for 2023 in the consolidated statement of comprehensive income?

"
E0025,natwest,short_answer,0.429,False,"According to NatWest Group's 2023 Annual Report, what was the amount of the directed buyback"
E0026,lloyds,open_ended,0.269,False,"According to Lloyds Banking Group's 2023 Annual Report, explain how the countercyclical capital buffer change in 2023 affected the Group's CET1 requirement and "
E0027,natwest,short_answer,0.727,False,"According to NatWest Group's 2023 Annual Report, how much did other financial assets increase during 2023?"
E0028,natwest,short_answer,0.692,True,"According to NatWest Group's 2023 Annual Report, what are the minimum requirements for the Liquidity Coverage Ratio and Net Stable Funding Ratio under the PRA f"
E0029,hsbc,short_answer,0.375,False,"According to HSBC's 2023 Annual Report and Accounts, what primarily drove the increase in the release of the contractual service margin"
E0030,lloyds,multiple_choice,0.308,False,According to Lloyds Banking Group's 2023 Annual Report: Analyze the main changes in the balance sheet between 31 December 2022 and 31 December 2023. Which asset
E0031,hsbc,short_answer,0.6,False,"According to HSBC's 2023 Annual Report and Accounts, what was the revenue of the Canada disposal group in $bn?"
E0032,natwest,short_answer,0.231,False,"According to NatWest Group's 2023 Annual Report, what was the amount of notes in circulation at 31 December 2023?"
E0033,hsbc,true_false,0.583,False,"According to HSBC's 2023 Annual Report and Accounts, what were total risk-weighted assets at 31 December 2023, in billions of dollars?"
E0034,natwest,short_answer,0.667,True,What is the CET1 MDA threshold for NatWest Group
E0035,lloyds,short_answer,0.462,False,"According to Lloyds Banking Group's 2023 Annual Report, by how much did the share buyback increase earnings per share?"
E0036,hsbc,open_ended,0.242,False,"According to HSBC's 2023 Annual Report and Accounts, compare risk-weighted assets by currency between 2022 and 2023. What does the comparison suggest about chan"
E0037,hsbc,multiple_choice,0.333,False,"According to HSBC's 2023 Annual Report and Accounts, what was the date on which the disposal group was classified as held for sale?"
E0038,hsbc,short_answer,0.444,False,"According to HSBC's 2023 Annual Report and Accounts, what was the amount of customer accounts at 31 Dec 2023 in $m?"
E0039,lloyds,single_choice,0.8,False,"According to Lloyds Banking Group's 2023 Annual Report, what was the profit for the year ended 31 December 2023?"
