qid,question_type,bank,adv_tier,question,reference,prediction,retrieved_ids,retrieved_banks,retrieval_scores,retrieval_top1,retrieval_bank_hit,retrieval_bank_precision,context,gen_tokens,hit_token_cap,latency_s,correct,mc_jaccard,token_f1,rougeL,abstained,halluc_proxy,answer_in_context,pred_words,pred_chars,correct_strict
P_E0014,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what was the amount recorded for insurance finance expense during that year?",7.8bn,**$1.5bn**,,,,,,,,8,0,1.01,0.0,,0.0,,0.0,1.0,,1.0,10.0,0.0
P_E0027,short_answer,natwest,,"Based on the NatWest Group 2023 Annual Report, what was the amount of increase in other financial liabilities?",£6.0 billion,**£1.4 billion**,,,,,,,,8,0,1.04,0.0,,0.5,,0.0,1.0,,2.0,16.0,0.0
P_E0033,true_false,hsbc,,Based on HSBC's 2023 Annual Report and Accounts: Did total risk-weighted assets (RWAs) as of 31 December 2023 decrease compared to the figure reported on 31 December 2022?,false,**True**,,,,,,,,4,0,0.63,0.0,,,,0.0,1.0,,1.0,8.0,0.0
P_E0041,true_false,natwest,,"According to NatWest Group's 2023 Annual Report: What was the total capital as of 31 December 2023, which stood at £33,920 million?",false,**True**,,,,,,,,4,0,0.62,0.0,,,,0.0,1.0,,1.0,8.0,0.0
P_E0047,short_answer,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, what was the amount of depreciation on operating leases for that year?",£956 million,"**£1,495 million**",,,,,,,,10,0,1.22,0.0,,0.5,,0.0,1.0,,2.0,18.0,0.0
P_E0080,true_false,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, what was the profit for the year ending 31 December 2023?",true,**True**,,,,,,,,4,0,0.72,1.0,,,,0.0,0.0,,1.0,8.0,1.0
P_E0136,single_choice,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the main factor behind the reduction in both derivative assets and derivative liabilities during 2023?",A,**A**,,,,,,,,4,0,0.75,1.0,,,,0.0,0.0,,1.0,5.0,1.0
P_E0154,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the amount of customer deposits recorded for 2022?",£450.3bn,"**£451,896 million**",,,,,,,,12,0,1.78,0.0,,0.0,,0.0,1.0,,2.0,20.0,0.0
P_E0158,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what percentage of customer accounts did loans and advances to customers represent in 2019?",72.0%,**68%**,,,,,,,,6,0,0.97,0.0,,0.0,,0.0,1.0,,1.0,7.0,0.0
P_E0162,short_answer,natwest,,"Based on NatWest Group's 2023 Annual Report, what was the exact, unrounded basic earnings per share attributable to ordinary shareholders for 2023?",47.948p,**49.58**,,,,,,,,8,0,1.02,0.0,,0.0,,0.0,1.0,,1.0,9.0,0.0
P_E0169,short_answer,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, what was the net monetary loss recorded for 2023 due to the application of IAS 29?",1667m,**$1bn**,,,,,,,,6,0,0.84,0.0,,0.0,,0.0,1.0,,1.0,8.0,0.0
P_E0174,short_answer,lloyds,,"Based on Lloyds Banking Group's 2023 Annual Report, by what percentage did underlying profit change between 2022 and 2023?",11%,19%,,,,,,,,4,0,0.62,0.0,,0.0,,0.0,1.0,,1.0,3.0,0.0
P_E0176,short_answer,lloyds,,"According to Lloyds Banking Group's 2023 Annual Report, what amount was recorded in other comprehensive income in 2022 for the effective part of fair value changes?",-6990,**-1989**,,,,,,,,8,0,1.08,0.0,,0.0,,0.0,1.0,,1.0,9.0,0.0
P_E0182,single_choice,natwest,,"According to NatWest Group's 2023 Annual Report, what was the cumulative contribution made to the £100 billion climate and sustainable funding and financing goal as of 31 December 2023?",B,**A**,,,,,,,,4,0,0.64,0.0,,,,0.0,1.0,,1.0,5.0,0.0
P_E0199,multiple_choice,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which of these items are listed as influences on net fee income for 2023?","A,B,C,D","**A, B, C, D, E, F**",,,,,,,,14,0,1.75,0.0,0.6666666666666666,,,0.0,1.0,,6.0,20.0,0.0
P_E0214,multiple_choice,natwest,,"Based on the consolidated balance sheet in NatWest Group's 2023 Annual Report for the year ended 31 December 2023, which line item was lower than in 2022?","A,B,C","**A, B, F**",,,,,,,,8,0,1.14,0.0,0.5,,,0.0,1.0,,3.0,11.0,0.0
P_E0216,multiple_choice,hsbc,,"Based on HSBC's 2023 Annual Report and Accounts, which of the following options regarding return on average tangible equity (RoTE) is accurate?","A,B,C,D","**A, B, D**",,,,,,,,8,0,1.21,0.0,0.75,,,0.0,1.0,,3.0,11.0,0.0
