qid,question_type,bank,adv_tier,question,reference,prediction,retrieved_ids,retrieved_banks,retrieval_scores,retrieval_top1,retrieval_bank_hit,retrieval_bank_precision,context,gen_tokens,hit_token_cap,latency_s,correct,mc_jaccard,token_f1,rougeL,abstained,halluc_proxy,answer_in_context,pred_words,pred_chars,correct_strict
ADVF001,adversarial_absent,hsbc,fabricated,What was the average salary of HSBC's Antarctic operations staff in 2023?,[NOT IN CORPUS],"I do not have specific information regarding the salaries of HSBC's Antarctic operations staff for the 2023 fiscal year. The details provided in the annual report typically focus on overall financial performance, strategic initiatives, and regional overviews rather than the salaries of specific groups or locations. Without access to the detailed payroll data or a specific section of the 2023 annual report that addresses this topic, it is not possible to provide an accurate average salary figure for HSBC's Antarctic operations staff.",,,,,,,,102,0,6.51,0.0,,,,0.0,1.0,,82.0,538.0,0.0
ADVF002,adversarial_absent,hsbc,fabricated,What percentage of HSBC's 2023 revenue came from its video-streaming subsidiary?,[NOT IN CORPUS],"I do not have specific information on HSBC's 2023 revenue breakdown by business segment or subsidiary, including any video-streaming subsidiary. HSBC is primarily a banking institution and does not typically report revenue from video-streaming services as a significant part of its business. Without access to the detailed 2023 annual report or other reliable sources providing this specific breakdown, I cannot provide an accurate percentage for revenue from a video-streaming subsidiary.",,,,,,,,93,0,5.4,0.0,,,,0.0,1.0,,70.0,489.0,0.0
ADVF003,adversarial_absent,hsbc,fabricated,What goodwill impairment did HSBC recognise on its acquisition of Deutsche Bank in 2023?,[NOT IN CORPUS],"I do not have specific information regarding a goodwill impairment related to HSBC's acquisition of Deutsche Bank for the 2023 fiscal year. HSBC did not acquire a significant stake or control in Deutsche Bank in 2023; instead, there was a strategic review of Deutsche Bank's business by HSBC. Given this context, there is no reported goodwill impairment related to such an acquisition in HSBC's 2023 annual report. If there were any impairment charges, they would likely be related to other assets or businesses within HSBC itself or its subsidiaries.",,,,,,,,118,0,7.85,0.0,,,,0.0,1.0,,89.0,551.0,0.0
ADVF004,adversarial_absent,hsbc,fabricated,What was the value of HSBC's gold bullion reserves held on the Moon at end-2023?,[NOT IN CORPUS],"There is no information provided about HSBC holding any gold bullion reserves on the Moon at the end of 2023. HSBC, like other major banks, typically holds physical gold reserves in secure locations on Earth for safekeeping and as part of their asset management. Therefore, based on the available information, the value of HSBC's gold bullion reserves held on the Moon at end-2023 is $0.",,,,,,,,90,0,5.17,1.0,,,,1.0,0.0,,65.0,387.0,1.0
ADVF005,adversarial_absent,lloyds,fabricated,What provision did Lloyds Banking Group make in 2023 for the settlement of its lawsuit with Apple Inc.?,[NOT IN CORPUS],"I do not have specific information on Lloyds Banking Group's provision for the settlement of its lawsuit with Apple Inc. in 2023 from the annual report or other reliable sources. The details of such settlements, including provisions made, are typically disclosed in the notes to the financial statements or the management discussion and analysis section of the annual report. Without access to the exact document, I cannot provide the specific figure.",,,,,,,,86,0,5.92,0.0,,,,0.0,1.0,,71.0,451.0,0.0
ADVF006,adversarial_absent,lloyds,fabricated,How much did Lloyds Banking Group spend on sponsorship of the 2023 FIFA World Cup?,[NOT IN CORPUS],I do not have specific information on Lloyds Banking Group's expenditure on the 2023 FIFA World Cup sponsorship. The details of such sponsorships are not typically included in the standard annual reports and would require additional research or access to internal documents. Annual reports usually focus on financial performance and strategic initiatives rather than detailed sponsorship costs.,,,,,,,,69,0,4.07,0.0,,,,0.0,1.0,,57.0,394.0,0.0
ADVF007,adversarial_absent,lloyds,fabricated,What revenue did Lloyds Banking Group report from its deep-sea mining division in 2023?,[NOT IN CORPUS],"Based on the information available from Lloyds Banking Group's 2023 annual report, there is no mention of a deep-sea mining division or any revenue generated from such an activity. Lloyds Banking Group operates primarily in banking services and does not have a significant presence in deep-sea mining as of the latest reports. Therefore, I cannot provide a specific revenue figure for a deep-sea mining division as it does not exist within the scope of their operations.",,,,,,,,97,0,5.9,1.0,,,,1.0,0.0,,76.0,470.0,1.0
ADVF008,adversarial_absent,lloyds,fabricated,What restructuring charge did Lloyds Banking Group book for closing its Iceland branch network in 2023?,[NOT IN CORPUS],"I do not have specific information on Lloyds Banking Group's restructuring charge related to closing its Iceland branch network for the 2023 fiscal year. Financial reports can contain detailed information on such charges, but without access to the exact document or a reliable summary, I cannot provide a precise figure. You may want to refer to Lloyds Banking Group's official 2023 annual report for this detail.",,,,,,,,86,0,5.62,0.0,,,,0.0,1.0,,66.0,413.0,0.0
ADVF009,adversarial_absent,natwest,fabricated,What was NatWest Group's cryptocurrency trading revenue in 2023?,[NOT IN CORPUS],"I do not have specific information on NatWest Group's cryptocurrency trading revenue for 2023. Cryptocurrency-related activities and revenues are not typically a significant part of traditional banking reports and may not be separately disclosed. For precise figures, you would need to refer to NatWest Group's 2023 annual report or financial disclosures.",,,,,,,,70,0,4.12,0.0,,,,0.0,1.0,,51.0,355.0,0.0
ADVF010,adversarial_absent,natwest,fabricated,What was NatWest Group's advertising spend on Japanese television in 2023?,[NOT IN CORPUS],"I do not have specific information regarding NatWest Group's advertising spend on Japanese television for 2023. The detailed breakdown of marketing expenses by region or medium is not typically provided in standard annual reports and would require more granular data than is usually disclosed. Therefore, I cannot provide a precise figure for this expenditure.",,,,,,,,66,0,4.2,0.0,,,,0.0,1.0,,54.0,360.0,0.0
